flight_id,origin,destination,fare,currency,available_seats
AA100,New York,Los Angeles,402.50,USD,120
AA101,New York,Chicago,238.00,USD,85
AA102,Los Angeles,New York,414.00,USD,95
DL200,Atlanta,Boston,272.00,USD,110
DL201,Boston,Atlanta,356.50,USD,100
UA300,San Francisco,Miami,374.00,USD,75
UA301,Miami,San Francisco,517.50,USD,82
SW400,Denver,Las Vegas,187.00,USD,150
SW401,Las Vegas,Denver,258.75,USD,145
BA500,New York,London,578.00,GBP,60
BA501,London,New York,805.00,GBP,55
JL600,Tokyo,New York,756.50,USD,45
JL601,New York,Tokyo,1058.00,USD,40
AF700,Paris,New York,612.00,EUR,65
AF701,New York,Paris,862.50,EUR,60
LH800,Berlin,New York,578.00,EUR,50
LH801,New York,Berlin,805.00,EUR,48
NZ900,Auckland,Los Angeles,476.00,NZD,70
NZ901,Los Angeles,Auckland,667.00,NZD,68
EK1000,Dubai,New York,756.50,AED,80
EK1001,New York,Dubai,1046.50,AED,75
QF1100,Sydney,San Francisco,527.00,AUD,55
QF1101,San Francisco,Sydney,736.00,AUD,52
SQ1200,Singapore,New York,637.50,SGD,65
SQ1201,New York,Singapore,885.50,SGD,62
CA1300,Beijing,Los Angeles,493.00,CNY,70
CA1301,Los Angeles,Beijing,690.00,CNY,65
AZ1400,Rome,New York,595.00,EUR,58
AZ1401,New York,Rome,828.00,EUR,55
KL1500,Amsterdam,Chicago,408.00,EUR,75
KL1501,Chicago,Amsterdam,575.00,EUR,72
AC1600,Toronto,Los Angeles,323.00,CAD,95
AC1601,Los Angeles,Toronto,460.00,CAD,90
MX1700,Mexico City,New York,246.50,MXN,110
MX1701,New York,Mexico City,356.50,MXN,105
BR1800,São Paulo,New York,442.00,BRL,68
BR1801,New York,São Paulo,621.00,BRL,65
